"Notes"	"Vaccine"	"Vaccine Code"	"Year Died"	"Year Died Code"	"Year Reported"	"Year Reported Code"	Events Reported	Percent
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1997"	"1997"	"1997"	"1997"	5	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1997"	"1997"			5	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1998"	"1998"	"1998"	"1998"	3	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1998"	"1998"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1999"	"1999"	"1999"	"1999"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1999"	"1999"	"2000"	"2000"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1999"	"1999"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"1999"	"1999"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2000"	"2000"	"2000"	"2000"	3	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2000"	"2000"	"2001"	"2001"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2000"	"2000"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2001"	"2001"	"2000"	"2000"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2001"	"2001"	"2001"	"2001"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2001"	"2001"	"2002"	"2002"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2001"	"2001"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2002"	"2002"	"2002"	"2002"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2002"	"2002"			1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2003"	"2003"	"2003"	"2003"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"2003"	"2003"			1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"Unknown Date"	"9999"	"1994"	"1994"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"Unknown Date"	"9999"	"1995"	"1995"	4	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"Unknown Date"	"9999"	"1996"	"1996"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"Unknown Date"	"9999"	"2000"	"2000"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"Unknown Date"	"9999"	"2001"	"2001"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"Unknown Date"	"9999"	"2002"	"2002"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"Unknown Date"	"9999"			10	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"1994"	"1994"	400	0.07%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"1995"	"1995"	583	0.11%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"1996"	"1996"	540	0.10%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"1997"	"1997"	616	0.11%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"1998"	"1998"	297	0.05%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"1999"	"1999"	407	0.08%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2000"	"2000"	455	0.08%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2001"	"2001"	309	0.06%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2002"	"2002"	329	0.06%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2003"	"2003"	72	0.01%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2004"	"2004"	13	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2005"	"2005"	4	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2006"	"2006"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2007"	"2007"	3	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2008"	"2008"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2009"	"2009"	3	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2010"	"2010"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2011"	"2011"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2013"	"2013"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2014"	"2014"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"2015"	"2015"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"	"Unknown Date"	"9999"	163	0.03%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	"No Death"	"9998"			4204	0.78%
"Total"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"					4249	0.79%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"1995"	"1995"	"1995"	"1995"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"1995"	"1995"			2	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"1997"	"1997"	"1997"	"1997"	5	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"1997"	"1997"			5	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"1998"	"1998"	"1998"	"1998"	3	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"1998"	"1998"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2000"	"2000"	"2000"	"2000"	4	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2000"	"2000"	"2001"	"2001"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2000"	"2000"			6	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2001"	"2001"	"2001"	"2001"	5	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2001"	"2001"	"2002"	"2002"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2001"	"2001"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2001"	"2001"			7	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2002"	"2002"	"2001"	"2001"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2002"	"2002"	"2002"	"2002"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2002"	"2002"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2003"	"2003"	"2003"	"2003"	7	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2003"	"2003"	"Unknown Date"	"9999"	4	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2003"	"2003"			11	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2005"	"2005"	"2005"	"2005"	3	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2005"	"2005"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2006"	"2006"	"2006"	"2006"	3	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2006"	"2006"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2007"	"2007"	"2007"	"2007"	4	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2007"	"2007"	"2010"	"2010"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2007"	"2007"			5	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2008"	"2008"	"2008"	"2008"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2008"	"2008"	"2009"	"2009"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2008"	"2008"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2009"	"2009"	"2009"	"2009"	6	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2009"	"2009"	"2010"	"2010"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2009"	"2009"	"2011"	"2011"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2009"	"2009"			8	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2010"	"2010"	"2010"	"2010"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2010"	"2010"	"2011"	"2011"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2010"	"2010"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2010"	"2010"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2011"	"2011"	"2011"	"2011"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2011"	"2011"			2	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2012"	"2012"	"2012"	"2012"	3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2012"	"2012"	"2013"	"2013"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2012"	"2012"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2013"	"2013"	"2013"	"2013"	3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2013"	"2013"	"2016"	"2016"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2013"	"2013"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2014"	"2014"	"2014"	"2014"	5	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2014"	"2014"	"2015"	"2015"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2014"	"2014"			6	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2015"	"2015"	"2015"	"2015"	3	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2015"	"2015"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2016"	"2016"	"2017"	"2017"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"2016"	"2016"			1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"1994"	"1994"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"1997"	"1997"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"1998"	"1998"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"2001"	"2001"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"2006"	"2006"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"2008"	"2008"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"2012"	"2012"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"2013"	"2013"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"	"Unknown Date"	"9999"	5	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"Unknown Date"	"9999"			13	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"1947"	"1947"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"1994"	"1994"	16	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"1995"	"1995"	19	0.00%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"1996"	"1996"	61	0.01%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"1997"	"1997"	134	0.02%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"1998"	"1998"	169	0.03%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"1999"	"1999"	122	0.02%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2000"	"2000"	194	0.04%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2001"	"2001"	150	0.03%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2002"	"2002"	280	0.05%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2003"	"2003"	822	0.15%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2004"	"2004"	724	0.13%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2005"	"2005"	101	0.02%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2006"	"2006"	417	0.08%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2007"	"2007"	440	0.08%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2008"	"2008"	631	0.12%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2009"	"2009"	1377	0.25%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2010"	"2010"	2184	0.40%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2011"	"2011"	1201	0.22%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2012"	"2012"	1513	0.28%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2013"	"2013"	1354	0.25%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2014"	"2014"	1994	0.37%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2015"	"2015"	1644	0.30%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2016"	"2016"	1047	0.19%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"2017"	"2017"	107	0.02%
	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"	"Unknown Date"	"9999"	757	0.14%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	"No Death"	"9998"			17459	3.23%
"Total"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"					17555	3.24%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2010"	"2010"	"2010"	"2010"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2010"	"2010"			2	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2011"	"2011"	"2011"	"2011"	7	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2011"	"2011"			7	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2012"	"2012"	"2012"	"2012"	4	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2012"	"2012"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2013"	"2013"	"2013"	"2013"	6	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2013"	"2013"			6	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2014"	"2014"	"2014"	"2014"	5	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2014"	"2014"	"2015"	"2015"	3	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2014"	"2014"			8	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2015"	"2015"	"2015"	"2015"	6	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2015"	"2015"	"2016"	"2016"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2015"	"2015"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2015"	"2015"			8	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2016"	"2016"	"2016"	"2016"	6	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2016"	"2016"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"2016"	"2016"			7	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"Unknown Date"	"9999"	"2014"	"2014"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"Unknown Date"	"9999"	"2015"	"2015"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"Unknown Date"	"9999"	"2016"	"2016"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"Unknown Date"	"9999"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2010"	"2010"	620	0.11%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2011"	"2011"	620	0.11%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2012"	"2012"	715	0.13%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2013"	"2013"	1061	0.20%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2014"	"2014"	1692	0.31%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2015"	"2015"	1773	0.33%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2016"	"2016"	2095	0.39%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"2017"	"2017"	167	0.03%
	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"	"Unknown Date"	"9999"	383	0.07%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	"No Death"	"9998"			9126	1.69%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"					9171	1.69%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"2012"	"2012"	"2012"	"2012"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"2012"	"2012"			1	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"	"2011"	"2011"	52	0.01%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"	"2012"	"2012"	328	0.06%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"	"2013"	"2013"	359	0.07%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"	"2014"	"2014"	372	0.07%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"	"2015"	"2015"	36	0.01%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"	"2016"	"2016"	7	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"	"Unknown Date"	"9999"	12	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"	"No Death"	"9998"			1166	0.22%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE INTRADERMAL)"	"1152"					1167	0.22%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1990"	"1990"	"1990"	"1990"	4	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1990"	"1990"	"1991"	"1991"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1990"	"1990"			6	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1991"	"1991"	"1991"	"1991"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1991"	"1991"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1991"	"1991"			2	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1992"	"1992"	"1992"	"1992"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1992"	"1992"			2	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1993"	"1993"	"1993"	"1993"	5	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1993"	"1993"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1993"	"1993"			6	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1994"	"1994"	"1994"	"1994"	7	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1994"	"1994"	"1995"	"1995"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1994"	"1994"	"Unknown Date"	"9999"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1994"	"1994"			11	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1995"	"1995"	"1995"	"1995"	4	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1995"	"1995"			4	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1996"	"1996"	"1996"	"1996"	3	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1996"	"1996"	"1997"	"1997"	2	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1996"	"1996"			5	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1997"	"1997"	"1997"	"1997"	3	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1997"	"1997"			3	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1998"	"1998"	"1998"	"1998"	5	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1998"	"1998"			5	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1999"	"1999"	"1999"	"1999"	9	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1999"	"1999"	"2000"	"2000"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1999"	"1999"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"1999"	"1999"			11	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2000"	"2000"	"2000"	"2000"	7	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2000"	"2000"	"2001"	"2001"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2000"	"2000"			8	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2001"	"2001"	"2001"	"2001"	6	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2001"	"2001"			6	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2002"	"2002"	"2002"	"2002"	4	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2002"	"2002"	"2003"	"2003"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2002"	"2002"	"2004"	"2004"	1	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2002"	"2002"	"Unknown Date"	"9999"	1	0.00%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2002"	"2002"			8	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2003"	"2003"	"2003"	"2003"	10	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2003"	"2003"	"2004"	"2004"	4	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2003"	"2003"	"2005"	"2005"	2	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2003"	"2003"	"Unknown Date"	"9999"	28	0.01%
"Total"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2003"	"2003"			44	0.01%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2004"	"2004"	"2004"	"2004"	21	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2004"	"2004"	"2005"	"2005"	3	0.00%
	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	"2004"	"2004"	"Unknown Date"	"9999"	10	0.00%
